song,artist,entry_date,exit_date,total_days,peak_position,avg_position,time_to_peak,avg_popularity,album_type,is_explicit,duration_min,total_tracks,stage,duration_bin
0 CONFIANZA,Rvfv,2025-06-02,2025-06-23,20,23,29.65,5,57.55,album,False,3.62,20,Decline,3-4 min
"1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,1,45,45.0,0,65.0,album,False,1.58,13,New Entry,<2min
1000COSAS,Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,245,3,20.43,0,76.17,single,False,3.99,1,Peak,3-4 min
100xCiento,Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,11,13,28.18,11,73.73,single,True,3.66,1,Decline,3-4 min
14 FEBREROS,Quevedo,2025-11-24,2025-11-27,4,9,13.5,0,65.75,album,True,2.87,18,New Entry,2-3 min
2AM,Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,4,31,39.5,3,60.0,single,False,3.27,1,New Entry,3-4 min
2xLL,JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,26,35,40.77,11,68.81,single,False,2.98,1,Decline,2-3 min
3 CAÍDAS,SAIKO,2025-04-28,2025-05-05,8,13,30.75,0,65.75,album,False,4.19,16,Decline,4-5 min
4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,2,35,40.5,0,54.5,album,True,2.49,23,New Entry,2-3 min
4TO 23,Aitana,2025-07-07,2025-07-16,9,17,35.0,0,65.22,single,False,2.81,1,Decline,2-3 min
50 PALOS,Feid,2024-12-02,2024-12-02,1,38,38.0,0,0.0,album,True,2.79,10,New Entry,2-3 min
57,KAROL G & Feid & DFZM,2025-11-10,2025-11-27,18,8,17.83,0,80.11,single,True,4.97,1,Peak,4-5 min
58,JHAYCO,2025-09-08,2025-09-18,8,35,44.0,0,65.0,album,False,4.79,29,Decline,4-5 min
69,Nicky Jam & Feid,2024-05-21,2024-06-30,41,22,36.05,10,83.54,single,True,3.7,1,Decline,3-4 min
A 300,JC Reyes & Pedro Calderon,2024-08-06,2025-04-24,255,11,25.56,161,76.91,single,False,2.82,1,Mature,2-3 min
ACHO PR,Bad Bunny,2024-10-14,2024-10-20,7,15,30.43,0,69.57,album,True,5.99,22,New Entry,>5 min
ADIVINO,Myke Towers & Bad Bunny,2025-04-28,2025-11-16,201,1,19.09,0,81.03,single,True,4.64,1,Peak,4-5 min
ALAKRAN,Feid,2024-12-02,2024-12-05,3,24,39.33,0,47.0,album,False,1.51,10,New Entry,<2min
AMANECIÓ,Quevedo,2025-11-24,2025-11-27,4,13,17.0,0,65.5,album,False,4.26,18,New Entry,4-5 min
AMARGURA,KAROL G,2024-05-26,2025-10-31,153,16,32.76,426,87.41,album,True,2.84,17,Mature,2-3 min
APAGA EL CEL,FloyyMenor & Lewis Somes,2025-05-26,2025-09-04,89,7,21.88,17,79.18,single,True,3.08,1,Peak,3-4 min
APT.,ROSÉ & Bruno Mars,2025-10-23,2025-11-01,7,42,44.43,7,92.14,single,False,2.83,1,New Entry,2-3 min
AQYNE,Aitana,2024-09-27,2024-09-29,3,40,40.33,1,72.33,album,False,3.02,15,New Entry,3-4 min
ASI ES LA VIDA,Enrique Iglesias & Maria Becerra,2024-11-22,2025-03-23,67,38,45.1,70,82.99,single,False,2.87,1,Mature,2-3 min
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),Don Toliver,2025-06-21,2025-06-21,1,46,46.0,0,69.0,album,True,2.68,16,New Entry,2-3 min
AUNQUE LLEGUE OTRO (feat. Jay Wheeler),Myke Towers,2025-08-24,2025-08-24,1,23,23.0,0,0.0,album,True,3.3,20,New Entry,3-4 min
AYER Y HOY,Mora,2024-08-30,2024-08-31,2,23,34.5,0,34.5,album,True,5.28,15,New Entry,>5 min
Acróstico,Shakira,2024-05-18,2024-07-09,53,1,18.34,1,90.85,single,False,2.85,1,Peak,2-3 min
Akureyri,Aitana & Sebastian Yatra,2025-04-28,2025-06-01,34,10,27.88,0,74.65,single,False,3.24,1,Peak,3-4 min
Alegría,Tiago PZK,2025-09-28,2025-10-05,8,8,20.0,4,73.12,album,False,2.75,14,Peak,2-3 min
All I Want for Christmas Is You,Mariah Carey,2024-12-03,2025-01-02,20,1,32.95,22,99.0,album,False,4.02,10,Peak,4-5 min
Alucin,Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,2025-01-13,2025-04-05,35,21,39.49,68,89.46,single,True,3.29,1,Decline,3-4 min
Amanece,Anuel AA & Haze,2024-05-25,2025-07-06,15,47,48.53,29,81.47,single,False,3.17,1,Decline,3-4 min
Amar De Nuevo,Rauw Alejandro,2025-11-17,2025-11-17,1,45,45.0,0,64.0,album,True,4.47,18,New Entry,4-5 min
Andando,Morad,2024-05-18,2024-06-03,17,34,41.18,1,72.65,album,True,4.36,19,Decline,4-5 min
Antes,Rvfv & Edu García,2024-05-18,2024-07-22,58,29,42.0,0,78.19,single,False,2.56,1,Decline,2-3 min
Antidepresivos,Saiko,2024-08-06,2024-12-19,136,13,29.78,0,77.04,single,False,2.42,1,Mature,2-3 min
Arena y Sal,Omar Montes & Saiko & Tunvao,2024-05-21,2025-01-20,242,3,20.02,77,80.0,single,False,2.91,1,Peak,2-3 min
Arranca (feat. Omega),Becky G & Omega,2024-05-18,2024-07-25,69,38,44.22,0,84.55,single,False,2.78,1,Mature,2-3 min
Ayer,DELLAFUENTE,2025-06-16,2025-06-18,2,37,43.0,0,40.0,album,False,2.6,10,New Entry,2-3 min
BABY HELLO,Rauw Alejandro & Bizarrap,2024-06-25,2025-04-19,296,2,22.27,3,77.49,single,True,3.71,1,Peak,3-4 min
BABY NUEVA,Bad Bunny,2024-10-14,2024-10-28,15,12,31.67,0,80.87,album,True,4.01,22,Decline,4-5 min
BAD BOY,Chris Jedi & Gaby Music & Dei V,2025-02-11,2025-03-10,28,16,25.29,0,73.39,single,True,3.92,1,Decline,3-4 min
BADGYAL,SAIKO,2025-04-28,2025-11-23,208,1,10.85,3,79.8,album,True,4.23,16,Peak,4-5 min
BANDIT,Don Toliver,2025-06-21,2025-06-21,1,27,27.0,0,69.0,album,True,2.46,16,New Entry,2-3 min
BATICANO,Bad Bunny,2024-10-14,2024-10-18,5,23,32.6,0,63.4,album,True,4.27,22,New Entry,4-5 min
BBY BOO - REMIX,iZaak & Jhayco & Anuel AA,2025-03-30,2025-07-23,115,5,18.04,19,82.63,single,True,4.6,3,Peak,4-5 min
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi & Seven Kayne & Milo j,2025-04-24,2025-05-06,11,28,42.55,2,83.09,single,True,4.74,1,Decline,4-5 min
BESO,ROSALÍA & Rauw Alejandro,2024-05-18,2024-10-06,142,4,21.93,0,93.9,single,False,3.24,3,Peak,3-4 min
BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,2024-09-14,2024-10-13,30,22,32.0,5,75.1,single,True,2.88,1,Decline,2-3 min
BIRDS OF A FEATHER,Billie Eilish,2025-06-12,2025-06-13,2,49,49.0,0,92.0,album,False,3.51,10,New Entry,3-4 min
BOREAL,SAIKO,2025-04-28,2025-05-01,4,22,35.5,0,62.5,album,False,2.75,16,New Entry,2-3 min
BUBALU,Feid & Rema,2024-09-24,2024-10-06,13,21,33.69,1,55.08,single,False,3.8,1,Decline,3-4 min
BUENAS NOCHES,Quevedo,2025-11-24,2025-11-27,4,18,25.25,0,63.5,album,False,3.98,18,New Entry,3-4 min
Bailando Bachata,Chayanne,2025-05-13,2025-06-02,9,45,48.11,19,77.89,album,False,2.85,9,Decline,2-3 min
Baja Pa' Acá,Rauw Alejandro,2025-11-17,2025-11-20,4,22,40.0,0,69.75,album,True,3.33,18,New Entry,3-4 min
Bandidona,Saiko,2024-10-29,2024-11-10,13,20,32.23,0,68.62,single,False,2.68,1,Decline,2-3 min
Barro,Duki,2025-10-20,2025-10-20,1,40,40.0,0,60.0,single,False,3.35,1,New Entry,3-4 min
Beautiful Things,Benson Boone,2025-03-13,2025-06-23,91,17,39.08,22,90.18,single,False,3.01,1,Mature,3-4 min
Bendecido,Eladio Carrion,2025-01-21,2025-01-26,6,7,23.0,0,75.0,album,True,2.38,17,New Entry,2-3 min
Besitos BB 2.0,El Perla & Omar Montes & SAIKO,2025-10-16,2025-10-31,11,9,28.09,0,64.64,single,True,3.89,1,Peak,3-4 min
Beso Prohibido,Beny Jr,2025-09-07,2025-09-07,1,49,49.0,0,64.0,album,False,2.55,14,New Entry,2-3 min
Brindis,Duki,2025-11-03,2025-11-07,3,30,40.33,0,67.0,album,True,3.01,15,New Entry,3-4 min
Buenas,Quevedo & Saiko,2024-09-24,2025-03-12,170,1,20.29,0,82.61,single,False,3.22,1,Peak,3-4 min
Buscando Money,TWENTY SIX & Tayson Kryss,2025-02-02,2025-04-17,73,4,24.08,13,77.88,single,False,2.5,2,Peak,2-3 min
Buscarte Lejos,Duki,2025-11-03,2025-11-09,7,28,37.57,3,68.0,album,False,3.24,15,New Entry,3-4 min
CACHÉ,Myke Towers,2025-08-24,2025-08-24,1,47,47.0,0,0.0,album,True,3.28,20,New Entry,3-4 min
CALL ME MAYBE,Duki,2024-12-10,2024-12-10,1,50,50.0,0,65.0,single,False,3.71,1,New Entry,3-4 min
CARITA TRISTE,Ana Mena & Emilia,2025-09-01,2025-11-23,84,9,30.01,6,75.26,single,False,2.92,1,Peak,2-3 min
CARTERA & TACOS,Myke Towers,2024-11-25,2024-11-25,1,47,47.0,0,0.0,album,True,2.17,23,New Entry,2-3 min
CHAPIADORA.COM,Quevedo,2025-11-24,2025-11-27,4,8,14.0,0,66.0,album,False,3.29,18,New Entry,3-4 min
CHIHIRO,Billie Eilish,2025-05-19,2025-05-25,7,39,46.0,0,84.71,album,False,5.06,10,New Entry,>5 min
CHORRITO PA LAS ANIMAS,Feid,2024-05-18,2024-06-14,28,32,38.89,0,91.0,single,True,2.8,6,Decline,2-3 min
CHULA,JC Reyes,2024-12-28,2025-01-20,8,49,49.62,20,71.75,single,False,2.55,1,Decline,2-3 min
CLASSY 101,Feid & Young Miko,2024-12-01,2025-01-17,29,16,41.07,1,75.79,single,True,3.27,1,Decline,3-4 min
COCO LOCO,Maluma,2024-07-01,2024-11-26,113,9,22.36,36,78.19,single,False,2.78,1,Peak,2-3 min
COLMILLO,Tainy,2024-10-19,2024-11-14,9,18,35.67,22,72.67,album,True,4.43,20,Decline,4-5 min
COMETA HALLEY,SAIKO,2025-04-28,2025-05-05,8,24,33.88,0,65.38,album,True,3.84,16,Decline,3-4 min
COMO SUENAN LAS ESTRELLAS,SAIKO,2025-04-28,2025-05-19,22,24,36.73,2,69.32,album,False,2.31,16,Decline,2-3 min
COMPETENCIA,Myke Towers,2025-08-24,2025-08-25,2,19,34.0,0,30.5,album,True,3.18,20,New Entry,3-4 min
COMUNA 3,JC Reyes & The Rude Boyz,2025-05-16,2025-09-17,122,12,29.59,20,71.75,single,False,2.57,1,Mature,2-3 min
CONTIGO (with Tiësto),KAROL G & Tiësto,2025-02-17,2025-03-24,35,13,26.11,1,88.0,single,False,3.21,1,Decline,3-4 min
CORAZÓN VACÍO,Maria Becerra,2024-07-05,2024-10-13,101,19,37.0,14,88.58,single,False,2.68,1,Mature,2-3 min
CORLEONE,Saiko & Yandel,2024-12-17,2025-01-15,27,16,37.19,4,62.04,single,False,3.2,1,Decline,3-4 min
COSAS QUE NO TE DIJE,Saiko,2024-08-16,2025-04-27,253,7,21.68,118,81.09,single,False,3.75,1,Peak,3-4 min
COSMETICOS,Myke Towers,2024-11-25,2024-11-29,2,33,40.5,0,35.0,album,True,2.36,23,New Entry,2-3 min
CRUSH,Sky Rompiendo & Dei V,2025-04-07,2025-08-23,137,15,28.5,20,75.76,single,False,3.89,1,Mature,3-4 min
CYBERTRUCK,Bad Bunny,2024-10-14,2024-10-21,8,8,26.5,0,73.75,album,True,3.2,22,Peak,3-4 min
Cafe Malibú,Sech & Mora & Saiko,2024-07-23,2024-09-19,59,9,27.95,2,80.17,single,True,4.34,1,Peak,4-5 min
Cangrinaje,Cruz Cafuné,2024-05-28,2024-05-28,1,48,48.0,0,56.0,album,True,3.53,23,New Entry,3-4 min
Capri Sun,B10 & Kilvertz,2025-07-31,2025-08-14,14,34,41.14,5,66.29,single,False,2.81,1,Decline,2-3 min
Casanova,Soolking & Lola Indigo & Rvfv,2024-12-10,2025-05-29,168,1,18.49,22,79.23,single,False,4.06,1,Peak,4-5 min
Caserio,Yandel & SAIKO,2025-03-10,2025-03-10,1,41,41.0,0,59.0,single,True,3.16,1,New Entry,3-4 min
Celine (with Kidd Keo),Ghost Killer Track & Kidd Keo,2025-10-03,2025-11-27,55,9,21.47,15,71.65,single,False,2.93,1,Peak,2-3 min
Cha Cha Cha,Käärijä,2024-05-18,2024-05-20,3,37,42.67,0,87.0,single,False,2.92,1,New Entry,2-3 min
Chulo pt.2,Bad Gyal & Tokischa & Young Miko,2024-06-24,2024-10-13,87,22,35.85,4,87.17,single,True,3.66,1,Mature,3-4 min
Cine 🚬,Duki,2025-11-03,2025-11-03,1,42,42.0,0,61.0,album,True,2.38,15,New Entry,2-3 min
Classy 101,Feid & Young Miko,2024-05-18,2024-11-30,182,7,20.5,0,94.7,single,True,3.27,1,Peak,3-4 min
Clavaito,Chanel & Abraham Mateo,2024-05-18,2025-01-04,153,6,17.07,15,81.86,single,False,2.71,1,Peak,2-3 min
Coco Chanel,Eladio Carrion,2024-05-18,2024-09-29,127,16,29.92,6,91.2,album,True,3.47,18,Mature,3-4 min
Cohete,Shakira,2025-03-24,2025-03-30,6,21,41.33,0,60.5,album,False,2.88,17,New Entry,2-3 min
Columbia,Quevedo,2024-07-08,2025-11-02,463,1,19.58,1,89.28,single,False,3.1,1,Peak,3-4 min
Committed,Rauw Alejandro,2025-11-17,2025-11-17,1,29,29.0,0,66.0,album,True,2.66,18,New Entry,2-3 min
Como Camarón,Estopa,2024-11-29,2025-02-21,35,32,43.8,35,73.43,album,False,3.37,12,Decline,3-4 min
Conexión,Cano & JC Reyes,2025-10-25,2025-11-14,16,27,41.38,2,53.12,single,False,3.14,1,Decline,3-4 min
Constelación,Duki & Lia Kali,2025-11-01,2025-11-10,10,26,32.6,2,64.3,single,False,3.34,1,Decline,3-4 min
Copa Vacía,Shakira & Manuel Turizo,2024-07-02,2024-07-28,27,16,38.48,0,85.7,single,False,2.89,1,Decline,2-3 min
Corazón Roto - Remix,Brray & Jhayco & Ryan Castro,2024-08-10,2024-09-13,33,26,36.85,30,86.73,single,True,4.58,1,Decline,4-5 min
Corazón Roto pt. 3,Brray & Anuel AA & Chencho Corleone,2024-09-13,2025-02-04,104,21,37.25,14,83.62,single,True,5.81,1,Mature,>5 min
Cosa Nuestra,Rauw Alejandro,2025-11-17,2025-11-18,2,16,30.0,0,68.5,album,True,4.34,18,New Entry,4-5 min
Cosas Pendientes,Maluma,2025-11-24,2025-11-27,2,37,42.5,3,68.5,single,False,3.07,1,New Entry,3-4 min
Cruel Summer,Taylor Swift,2025-06-01,2025-06-01,1,39,39.0,0,94.0,album,False,2.97,18,New Entry,2-3 min
Cuando Te Vi | CROSSOVER #5,Big One & Maria Becerra & Trueno,2025-07-05,2025-10-28,114,11,26.45,40,78.32,single,True,3.64,5,Mature,3-4 min
Cupido,TINI,2024-05-18,2025-06-05,120,17,33.88,1,82.61,album,False,2.91,14,Mature,2-3 min
CÓRCEGA,Mora,2024-08-30,2024-09-02,4,17,36.75,0,54.0,album,True,3.15,15,New Entry,3-4 min
Cómo Te Atreves,Morat,2025-03-02,2025-03-02,1,45,45.0,0,78.0,album,False,4.01,12,New Entry,4-5 min
Cúrame,Rauw Alejandro,2025-08-01,2025-08-16,15,41,44.53,9,83.13,album,True,2.75,14,Decline,2-3 min
DE PLASTILINA,Lola Indigo & Pepe y Vizio,2024-10-21,2024-10-22,2,40,45.0,0,16.0,single,False,3.49,1,New Entry,3-4 min
DEGENERE 👑 (feat. benny blanco),Myke Towers,2025-10-20,2025-11-27,39,1,3.13,5,77.9,album,True,2.18,30,Peak,2-3 min
DEMO #5: nostalgIA - Spanglish Version,FlowGPT,2024-11-08,2024-11-09,2,12,16.0,1,42.0,single,True,3.67,1,New Entry,3-4 min
DEPORTIVO,Blessd & Anuel AA,2025-11-16,2025-11-23,4,35,43.5,7,68.5,single,True,3.65,1,New Entry,3-4 min
DESATAAA,Ovy On The Drums & Myke Towers & SAIKO,2025-03-17,2025-07-09,113,6,28.88,4,74.53,single,True,3.29,1,Peak,3-4 min
DESPECHÁ,ROSALÍA,2024-05-22,2025-01-02,51,39,47.02,21,84.55,album,False,2.61,24,Decline,2-3 min
DESQUITE,Feid,2024-12-02,2024-12-02,1,39,39.0,0,0.0,album,False,2.23,10,New Entry,2-3 min
DIABLA,Los Diozes,2025-10-27,2025-11-20,25,17,29.56,7,67.48,album,True,3.63,8,Decline,3-4 min
DIABLITA (feat. YOVNGCHIMI),Myke Towers,2025-08-24,2025-09-04,9,34,41.56,0,60.22,album,True,3.1,20,Decline,3-4 min
DIAMONDS,Mora,2024-08-30,2024-09-02,4,18,34.75,0,53.75,album,True,3.22,15,New Entry,3-4 min
DILUVIO,Rauw Alejandro,2024-10-21,2025-10-14,188,3,18.78,26,88.24,album,True,3.28,14,Peak,3-4 min
DINERO y FAMA (feat. Omar Montes),Myke Towers,2025-08-24,2025-08-24,1,40,40.0,0,0.0,album,True,3.6,20,New Entry,3-4 min
DONDE SE APRENDE A QUERER?,Mora,2024-08-30,2025-02-17,152,3,31.2,0,84.53,album,False,2.41,15,Peak,2-3 min
DUBAI,Trueno & Beny Jr,2024-06-15,2024-06-22,8,47,49.0,2,75.75,single,False,2.43,1,Decline,2-3 min
DURO,Quevedo,2025-11-02,2025-11-27,26,1,11.38,0,72.5,single,False,2.7,1,Peak,2-3 min
Dararí,Aitana,2024-09-24,2024-09-29,6,13,27.5,0,62.17,album,False,2.84,15,New Entry,2-3 min
Después De La 1,Cris Mj & FloyyMenor,2025-09-19,2025-11-23,63,11,26.65,8,85.56,single,True,2.96,2,Mature,2-3 min
Detrás del DJ,Rels B,2025-04-28,2025-04-28,1,39,39.0,0,66.0,album,True,1.99,13,New Entry,<2min
Diabólica,Cris Mj,2025-03-13,2025-08-19,156,14,30.29,10,76.9,album,True,3.2,17,Mature,3-4 min
Dicelo,Lianet Rivero & Lia & Gatillo,2024-10-20,2024-10-23,4,24,28.25,1,58.0,single,False,2.56,1,New Entry,2-3 min
Die With A Smile,Lady Gaga & Bruno Mars,2025-08-31,2025-11-23,48,29,40.85,76,99.77,single,False,4.19,1,Decline,4-5 min
Dios #1,Cruz Cafuné,2024-05-28,2024-05-28,1,43,43.0,0,56.0,album,True,3.34,23,New Entry,3-4 min
Doblexxó,J Balvin,2025-08-10,2025-08-23,12,33,43.17,0,63.75,album,True,2.95,15,Decline,2-3 min
Duro De Verdad pt.2,Los Sufridos,2025-09-20,2025-11-27,69,1,6.99,7,74.68,single,False,3.41,1,Peak,3-4 min
Déjame Entrar,Rauw Alejandro,2025-07-25,2025-11-23,9,17,37.67,115,72.0,single,True,4.25,1,Decline,4-5 min
EL CHACAL,Mora,2024-08-30,2024-09-02,4,10,19.75,0,55.25,album,True,3.3,15,New Entry,3-4 min
EL CONDENAO,Lola Indigo,2024-12-17,2025-01-04,12,35,44.58,5,60.33,album,False,2.41,7,Decline,2-3 min
EL ESTRIBILLO,Quevedo,2025-11-24,2025-11-27,4,16,24.75,0,64.25,album,False,2.69,18,New Entry,2-3 min
EL PANTALON - RUMBAS,Omar Montes,2025-06-02,2025-09-12,101,2,23.46,14,67.9,album,False,3.22,11,Peak,3-4 min
EL TONTO,Lola Indigo,2024-05-18,2025-01-10,205,2,24.97,0,79.95,album,False,3.13,11,Peak,3-4 min
EMPELOTICA,Lenny Tavárez & Feid,2025-02-25,2025-04-06,36,16,32.39,6,79.58,single,True,3.17,1,Decline,3-4 min
EMRATA,Myke Towers,2024-11-25,2024-11-25,1,46,46.0,0,0.0,album,True,3.76,23,New Entry,3-4 min
EROTICAAAAAAA,Gonzy,2025-10-13,2025-10-31,15,38,45.4,12,58.13,album,True,2.83,18,Decline,2-3 min
ESKELETO,SAIKO,2025-04-28,2025-10-23,113,11,36.16,4,71.96,album,True,4.66,16,Mature,4-5 min
El Cielo,Sky Rompiendo & Feid & Myke Towers,2024-06-04,2025-03-09,271,2,26.34,6,87.97,single,True,3.19,1,Peak,3-4 min
El Conjuntito,El Bobe & Omar Montes,2025-03-24,2025-09-23,180,1,17.29,16,75.64,single,False,2.65,1,Peak,2-3 min
El Destello,Juanjo Bona & Martin Urrutia,2025-10-06,2025-10-06,1,36,36.0,0,57.0,single,False,2.68,1,New Entry,2-3 min
El Fin del Mundo,La La Love You,2025-06-03,2025-11-23,98,37,46.43,83,68.01,album,False,3.13,18,Mature,3-4 min
El Jefe,Shakira & Fuerza Regida,2024-09-24,2024-10-03,10,31,39.3,3,80.8,single,True,2.84,1,Decline,2-3 min
El Malo,Eladio Carrion,2025-01-21,2025-02-17,27,20,34.44,4,77.85,album,False,3.49,17,Decline,3-4 min
El Mambo,Kiko Rivera,2024-10-04,2025-02-28,144,2,24.26,9,78.18,single,False,2.16,1,Peak,2-3 min
El Merengue,Marshmello & Manuel Turizo,2024-05-18,2025-11-18,487,5,28.28,0,82.3,single,False,3.16,1,Peak,3-4 min
El Patio,Pepe y Vizio & Delaossa & KIDDO,2025-02-22,2025-08-27,152,8,28.7,13,73.92,single,False,3.88,1,Peak,3-4 min
Ella Baila Sola,Eslabon Armado,2024-05-18,2024-08-09,84,9,24.57,16,92.26,album,False,2.76,16,Peak,2-3 min
En To Lao,Haze & Jhayco,2024-06-15,2024-07-01,11,45,48.27,16,75.09,single,True,3.25,1,Decline,3-4 min
Enamórate,Nicki Nicole & Bad Gyal,2024-11-16,2024-12-01,15,31,37.67,2,70.47,single,False,2.46,1,Decline,2-3 min
Es un Secreto,Plan B,2025-06-22,2025-07-04,13,37,41.54,8,82.31,album,False,3.2,15,Decline,3-4 min
Escriurem,Chiara Oliver & Martin Urrutia,2025-01-25,2025-01-25,1,47,47.0,0,56.0,single,False,3.15,1,New Entry,3-4 min
Espectacular,Sky Rompiendo & Rauw Alejandro,2025-04-25,2025-04-27,2,49,49.5,0,74.5,single,False,3.1,1,New Entry,3-4 min
Espresso,Sabrina Carpenter,2025-06-09,2025-07-03,24,39,44.42,19,96.29,single,True,2.92,1,Decline,2-3 min
Espresso Martini,Rauw Alejandro,2025-11-17,2025-11-21,5,21,35.2,0,71.2,album,True,3.19,18,New Entry,3-4 min
